,S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
1,1.1,31.884,0.1994,0
2,0.98,6.8833756,0.0678,0
3,0.89,1.921036,0.0291,0
4,0.87,11.119907,0.0911,0
5,0.68,7.493134,0.0657,0
6,1.2,4.07182,0.053007391,0
7,0.85,17.0503,0.12006936,0
8,2.61,3180.6,5.9223835,0
9,1.92,696.62,1.9202684,0
10,1.78,414.88,1.3358832,0
11,1.41,5429.9348,6.8965136,0
12,1.26,56.00819,0.3102287,0
13,0.79,1.2730991,0.021523116,0
14,1.19,225.11781,0.9897984,0
15,0.69,57.435,0.2536125,0
16,0.72,433.70001,1.1096745,0
17,0.75,20608.14,13.84607,0
18,1.18,3700.0,5.5929225,0
19,1.81,1062.2651,2.985339,0
20,0.7,4375.0,5.15927,0
22,0.47,2.527093,0.0297825,0
23,1.1,24.1396,0.17589804,0
24,1.1,47.42489,0.2958,0
25,1.11,3.7130203,0.04853,0
26,0.77,5.508023,0.056097215,0
27,1.02,3.98442,0.049137813,0
28,1.1,4.12508,0.05524,0
29,0.57,3.3252725,0.03623,0
30,0.69,5.1857539,0.06442218,0
31,1.07,27000.0,24.3504,0
32,1.3,3.313959,0.0475,0
33,0.72,4.35301,0.05362,0
34,0.82,10.35509,0.0682,0
35,0.47,2.6438831,0.029378176,0
36,0.34,9.1247,0.061,0
37,0.88,2.14363,0.03444,0
38,0.97,14.85888,0.1172,0
39,0.78,1.011534,0.01835379,0
40,1.48,2.70579,0.0447,0
41,1.08,1.537366,0.026774832,0
42,1.18,3.7521,0.05165,0
43,0.95,9.192522,0.0823,0
44,1.33,8500.0,9.5754742,0
45,1.04,4.5195064,0.05427,0
46,0.95,16.364988,0.1208,0
47,1.16,2.176423,0.034998525,0
48,0.91,0.7365474,0.0154593,0
49,1.65,4.7869491,0.06555,0
50,1.15,4.4652998,0.05561,0
51,1.43,2.34121,0.03651,0
52,0.93,421.0,1.1162433,0
53,1.33,5.6335158,0.077253583,0
54,0.81,3.24406,0.0455364,0
55,1.03,1.3273468,0.024147826,0
56,0.96,1.6284279,0.026719277,0
57,1.07,1.3484978,0.0238,0
58,1.0,1.651144,0.027410865,0
59,1.09,3.1743516,0.043740632,0
60,0.73,3.2130598,0.0384,0
61,1.14,10.33111,0.098135337,0
62,1.54,8.6001536,0.09541601,0
63,0.74,25.575,0.15418765,0
64,1.42,2.87589,0.04364,0
65,0.93,2.3447802,0.0337,0
66,1.15,2.5079204,0.03783,0
67,1.22,2.1558,0.035003937,0
68,0.89,1.706291,0.0269,0
69,1.28,3.9228107,0.053056525,0
70,0.77,34.525528,0.20690219,0
71,1.27,2.292102,0.037857274,0
72,1.32,446.27,1.5333225,0
73,0.69,4.655411,0.0480864,0
74,1.41,18.38818,0.1528,0
75,1.13,2.8792319,0.04127,0
76,0.75,3.0927616,0.037852296,0
77,0.91,44.3989,0.23740679,0
78,0.81,22.717,0.14790228,0
79,1.08,9.1751,0.09545178,0
80,1.46,1.809886,0.033,0
81,2.06,3.32944,0.04613,0
82,1.19,48.36685,0.305,0
83,1.55,3.916243,0.0562,0
84,0.63,4.795069,0.047855134,0
85,0.59,4.052037,0.04173336,0
86,1.08,3.55395,0.05084,0
87,1.64,4.511164,0.063,0
88,2.52,4.08722,0.05512,0
89,1.08,2.7164762,0.039165116,0
90,1.28,5.4122,0.0732897,0
91,0.92,5.924262,0.062,0
92,1.5,4.193649,0.06250926,0
93,0.84,1.4200242,0.02332,0
94,1.04,4323.0,5.28,0
95,0.78,2.9444256,0.037672267,0
96,0.85,16.06819,0.12027353,0
97,0.62,2.647298,0.032604173,0
98,0.74,17.30713,0.11863088,0
99,0.81,101.12,0.40719556,0
100,0.82,21.01538,0.1093,0
101,0.78,7.133514,0.06716415,0
102,1.46,5.5514926,0.069896596,0
103,2.65,4.62767,0.05996058,0
104,0.82,35.12537,0.1539,0
105,1.38,4.5776348,0.062341397,0
106,1.46,4.2180896,0.058798214,0
107,1.33,2.052868,0.0347,0
108,1.67,3.95019,0.055,0
109,1.12,3.28883,0.04562738,0
110,1.28,22.342989,0.16844075,0
111,1.13,18.71204,0.14367352,0
112,1.01,4.1419771,0.050662788,0
113,0.56,83.9997,0.312,1
114,0.84,3.3098443,0.041028454,0
115,1.25,3.310651,0.0469,0
116,1.1,2088.7585,3.9933375,0
117,1.17,3.9443715,0.049775171,0
118,1.36,2.47063,0.03563,0
119,1.28,3.743208,0.052789688,0
120,1.16,1.645321,0.0286,0
121,1.2,1.5449298,0.0274,0
122,1.06,2.8997,0.03866,0
123,0.87,3.7684952,0.0452,0
124,0.18,1.5804043,0.014929569,0
125,0.81,3407.0,4.8758801,0
126,1.34,8.15872,0.083948805,0
127,0.85,9.4897116,0.080600625,0
128,0.93,1.3061858,0.02282,0
129,0.95,1.7771255,0.02818,0
130,1.02,1628.0,2.7347516,0
131,1.13,14.339156,0.12058464,0
132,1.26,2.1805354,0.035611382,0
133,1.01,3.6528151,0.046612326,0
134,1.33,2.7325321,0.04211,0
135,1.28,10.62656,0.09271875,0
136,1.04,2.78849,0.04073,0
137,0.87,6.203449,0.062035836,0
138,0.84,3.836169,0.04530111,0
139,0.81,2.9626404,0.037712169,0
140,0.78,4.1117771,0.04632,0
141,1.09,2.8786765,0.0408,0
142,0.87,29.54115,0.17602863,0
143,1.22,3.634433,0.0494,0
144,1.26,2.972086,0.043806702,0
145,0.88,3.94153,0.0488,0
146,0.81,28.579743,0.17530127,0
147,1.04,9.03055,0.08500425,0
148,0.77,17.16073,0.13095504,0
149,0.78,0.9809734,0.01782,0
150,0.89,7.87288,0.075,0
151,0.88,11.8993,0.099241055,0
152,1.45,5.72319,0.066970135,0
153,1.17,19.49221,0.1493,0
154,1.59,2.0219596,0.0365,0
155,0.81,0.4465688,0.0106,0
156,1.26,3.128992,0.045254263,0
157,1.18,2.07276,0.03303,0
158,1.62,4.6117093,0.0637,0
159,0.38,0.76837883,0.0121162,0
160,0.99,4.2986432,0.052429645,0
161,1.27,3.1220109,0.045599546,0
162,0.79,7.06005,0.067995868,0
163,1.35,3.5862202,0.05074286,0
164,1.41,2.032046,0.0352,0
165,0.92,5584.0,6.02588,0
166,1.0,2.541,0.035151358,0
167,0.91,259.88,0.77326656,0
168,0.76,4.7228124,0.050406805,0
169,1.12,8.3248762,0.083464306,0
170,0.77,0.882059,0.01677,0
171,0.14,4.9899093,0.02961,0
172,1.62,2.24375,0.03714985,0
173,1.21,5.75251,0.0717,0
174,0.85,88.505,0.378,0
175,0.94,4.954,0.06431,0
176,0.88,1.354133,0.023,0
177,0.94,2.255251,0.03302,0
178,1.3,3.409264,0.048,0
179,0.51,2.4919863,0.0287,0
180,1.55,2.8106,0.04193352,0
181,1.04,4.60273,0.0549,0
182,0.92,3.3564227,0.043495266,0
183,0.95,2.0845435,0.03138,0
184,0.85,5.19672,0.056743932,0
185,0.86,4.65382,0.052835901,0
186,0.93,9.28971,0.0917,0
187,0.31,3.6906745,0.0317,0
188,1.11,4.46563,0.0558,0
189,1.1,6.26791,0.069204551,0
190,0.96,3.8537768,0.050118009,0
191,0.74,3.477978,0.0407,0
192,1.46,2.18467,0.03416,0
193,0.84,4.3888497,0.050179845,0
194,0.93,3.577469,0.0446,0
195,0.58,3.0678523,0.034400069,0
196,1.21,3.89713,0.051857213,0
197,0.9,1.8053564,0.02803,0
198,1.39,5.4060425,0.0673,0
199,0.92,2.78174,0.0379,0
200,1.28,4.37808,0.0574,0
201,1.32,2.91625,0.043833877,0
202,0.18,1.628931,0.01567026,0
203,0.98,3.86814,0.04525,0
204,1.24,3.646706,0.049789956,0
205,1.75,2.82406,0.047,0
206,0.68,2.2984055,0.029985181,0
207,0.86,1.3382315,0.0226,0
208,0.77,3.92273,0.045720565,0
209,1.03,4.45724,0.0608,0
210,0.31,7.450729,0.0506,0
211,0.88,2.5081,0.0344,0
212,0.85,3.126089,0.039666638,0
213,1.05,1.3866532,0.0248,0
214,0.76,2.90367,0.04622,0
215,1.46,3.6127647,0.05224,0
216,1.37,3.35524,0.04662395,0
217,1.33,4.08605,0.0546,0
218,1.28,54.32031,0.30465498,0
219,1.03,3.71495,0.0474,0
220,0.81,46.859,0.23925671,0
221,1.56,3.2642736,0.05240214,0
222,0.39,11.379573,0.072136915,0
223,1.17,2.9776412,0.04263,0
224,0.71,1.392978,0.02177,0
225,1.56,4.908897,0.066368101,0
226,1.32,6.180235,0.07229,0
227,0.72,2.71866,0.0394,0
228,1.03,3.5852313,0.046948746,0
229,0.95,1.858703,0.0283,0
230,1.01,4.322482,0.052,0
231,0.99,20.543791,0.14799284,0
232,1.32,1.8209993,0.033487708,0
233,0.45,10.894843,0.07389808,0
234,1.02,2.6453235,0.037912391,0
235,0.79,2247.0,3.115598,0
236,0.91,1.25785,0.022,0
237,0.95,4.9816819,0.056207824,0
238,1.2,4.8996284,0.06,0
239,0.53,6.387597,0.052,0
240,1.03,2.350621,0.034943693,0
241,0.29,5.746007,0.0385,0
242,0.81,8.8803256,0.080438632,0
243,0.91,4.61442,0.05179,0
244,0.95,4.178062,0.0484,0
245,1.21,3.0652907,0.04403,0
246,1.05,3.16158,0.04317,0
247,1.11,4.41195,0.0571,0
248,1.06,5.322023,0.0607,0
249,0.78,4.8494,0.052,0
250,1.27,4.1876244,0.056697168,0
251,1.36,1.274925,0.02596,0
252,0.98,120.8,0.48115212,0
253,0.85,3.185315,0.040699734,0
254,1.79,1.902603,0.038901945,0
255,0.73,7.3279474,0.066522621,0
256,0.83,1.4303676,0.023355651,0
257,0.9,2.2359835,0.032335675,0
258,1.12,4.23452,0.04824488,0
259,2.56,2.69405,0.04258,0
260,0.81,2200.0,3.2,0
261,1.2,2.9895932,0.04317,0
262,0.85,1.4468849,0.02359,0
263,1.16,3.4059096,0.04659,0
264,0.54,15.6653,0.10008,0
265,0.27,2.2531136,0.022026222,0
266,1.21,17.833648,0.12437157,0
